hunt_code,open_date,close_date,bag_limit_description,notes
3170,2026-08-07,2026-08-13,Antlerless elk,
3171,2026-09-11,2026-09-24,Antlerless elk,
3172,2026-09-11,2026-09-24,Antlerless elk,
3173,2026-09-11,2026-09-24,Antlerless elk,
3174,2026-09-11,2026-09-24,Antlerless elk,
3175,2026-09-11,2026-09-24,Antlerless elk,
3176,2026-09-11,2026-09-24,Antlerless elk,
3177,2026-09-11,2026-09-24,Antlerless elk,
3178,2026-09-11,2026-09-24,Antlerless elk,
3179,2026-09-11,2026-09-24,Antlerless elk,
3180,2026-09-11,2026-09-24,Antlerless elk,
3181,2026-09-11,2026-09-24,Antlerless elk,
3182,2026-09-11,2026-09-24,Antlerless elk,
3183,2026-11-13,2026-11-26,Antlerless elk,
3184,2026-09-11,2026-09-24,Antlerless elk,
3185,2026-09-25,2026-10-08,Antlerless elk,
3186,2026-11-13,2026-11-26,Antlerless elk,
3187,2026-11-13,2026-11-26,Antlerless elk,
3188,2026-09-11,2026-09-24,Antlerless elk,
3189,2026-09-04,2026-09-24,,
3190,2026-09-11,2026-10-01,Bull elk,
3191,2026-09-11,2026-10-01,Antlerless elk,
3192,2026-09-11,2026-09-24,,
