hunt_code,open_date,close_date,bag_limit_description,notes
36-6,2026-10-10,2026-11-05,Cow or calf valid in the entire area,Regular season
36-6-ARCH,2026-09-15,2026-09-30,Cow or calf valid in the entire area,Special archery season
36-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 75
37-Gen,2026-10-10,2026-11-05,Any elk,Regular season
37-Gen-ARCH,2026-09-15,2026-09-30,Any elk,Special archery season
37-Gen,2026-11-06,2026-11-15,Antlerless elk,Regular season
37-6,2026-09-01,2026-09-30,Cow or calf valid on private land,Regular season; Quota: 500
37-6,2026-10-01,2026-12-31,Cow or calf valid in the entire area,Regular season
37-6-ARCH,2026-09-15,2026-09-30,Cow or calf valid in the entire area,Special archery season
37-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 150
38-1,2026-10-10,2026-10-31,Any elk,Regular season; Quota: 400
38-1,2026-11-01,2026-11-15,Antlerless elk,Regular season
38-4,2026-10-01,2026-11-15,Antlerless elk,Regular season; Quota: 550
38-6,2026-09-15,2026-12-31,Cow or calf valid off national forest and off the Wyoming Game and Fish Commission’s Amsden Creek and Kerns Wildlife Habitat Management Areas,Regular season; Quota: 75
38-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 250
39-1,2026-10-10,2026-11-04,Any elk,Regular season; Quota: 200
39-1,2026-11-05,2026-11-30,Antlerless elk,Regular season
39-4,2026-10-01,2026-11-30,Antlerless elk,Regular season; Quota: 150
39-6,2026-11-05,2026-11-30,Cow or calf,Regular season; Quota: 75
39-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
39-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 100
40-1,2026-10-15,2026-11-04,Any elk,Regular season; Quota: 225
40-4,2026-10-15,2026-11-30,Antlerless elk,Regular season; Quota: 125
40-6,2026-09-01,2026-11-04,Cow or calf valid off national forest,Regular season; Quota: 125
40-6,2026-11-05,2026-11-30,Cow or calf valid in the entire area,Regular season
40-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 100
41-1,2026-10-15,2026-11-04,Any elk,Regular season; Quota: 275
41-2,2026-11-05,2026-11-20,Any elk,Regular season; Quota: 100
41-3,2026-09-01,2026-10-14,Any elk valid off national forest north of Trapper Creek,Regular season; Quota: 35
41-4,2026-10-15,2026-11-30,Antlerless elk,Regular season; Quota: 350
41-6,2027-01-01,2027-01-21,Cow or calf,Regular season; Quota: 350
41-7,2026-09-01,2026-11-04,Cow or calf valid off national forest north of Trapper Creek,Regular season; Quota: 150
41-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 125
45-1,2026-10-15,2026-11-04,Any elk,Regular season; Quota: 350
45-4,2026-10-15,2026-11-30,Antlerless elk,Regular season; Quota: 250
45-5,2026-10-01,2026-10-10,Antlerless elk,Regular season; Quota: 200
45-5,2026-10-25,2026-11-30,Antlerless elk,Regular season
45-6,2026-09-01,2026-11-30,Cow or calf valid off national forest,Regular season; Quota: 150
45-7,2026-12-01,2026-12-21,Cow or calf,Regular season; Quota: 100
45-7-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
45-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 175
47-1,2026-10-09,2026-10-31,Any elk,Regular season; Quota: 150
47-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
47-1,2026-11-01,2026-11-30,Antlerless elk,Regular season
47-6,2026-10-09,2026-11-30,Cow or calf,Regular season; Quota: 50
47-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
48-1,2026-10-09,2026-10-31,Any elk,Regular season; Quota: 400
48-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
48-1,2026-11-07,2026-12-15,Antlerless elk,Regular season
48-4,2026-10-09,2026-10-31,Antlerless elk,Regular season; Quota: 125
48-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
48-4,2026-11-07,2026-12-15,Antlerless elk,Regular season
48-6,2026-10-09,2026-10-31,Cow or calf,Regular season; Quota: 600
48-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
48-6,2026-11-07,2026-11-30,Cow or calf,Regular season
48-7,2026-11-07,2026-12-15,Cow or calf,Regular season; Quota: 300
48-7-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
49-1,2026-10-09,2026-10-31,Any elk,Regular season; Quota: 350
