License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2023,446,md,N,214,1364,6,36,36,0,0,3,33,15,21
2023,446,md,R,615,3536,6,91,91,0,0,3,88,37,54
2023,446,md,SUM,829,4900,6,127,127,0,0,6,120,52,75
2023,446,wt,N,214,1364,6,41,21,20,0,0,41,3,18
2023,446,wt,R,615,3536,6,176,98,79,0,0,176,34,64
2023,446,wt,SUM,829,4900,6,218,119,99,0,0,218,37,82
2023,447,all_deer,N,182,940,5,154,122,32,0,3,151,27,95
2023,447,all_deer,R,1530,8590,6,889,700,185,3,10,872,172,526
2023,447,all_deer,SUM,1712,9530,6,1042,822,217,3,13,1023,199,621
2023,447,md,N,182,940,5,99,98,1,0,3,96,24,75
2023,447,md,R,1530,8590,6,502,475,28,0,3,499,125,348
2023,447,md,SUM,1712,9530,6,602,573,29,0,6,595,149,422
2023,447,wt,N,182,940,5,55,24,31,0,0,55,3,21
2023,447,wt,R,1530,8590,6,386,225,158,3,7,373,47,178
2023,447,wt,SUM,1712,9530,6,441,249,188,3,7,428,50,199
2023,448,all_deer,N,145,803,6,65,48,17,0,6,59,12,36
2023,448,all_deer,R,532,3149,6,192,145,43,3,7,181,51,94
2023,448,all_deer,SUM,677,3952,6,256,193,60,3,13,240,63,130
2023,448,md,N,145,803,6,45,45,0,0,6,39,12,33
2023,448,md,R,532,3149,6,128,118,10,0,7,118,47,71
2023,448,md,SUM,677,3952,6,172,163,10,0,13,156,59,104
2023,448,wt,N,145,803,6,20,3,17,0,0,20,0,3
2023,448,wt,R,532,3149,6,64,27,34,3,0,64,3,24
2023,448,wt,SUM,677,3952,6,84,30,51,3,0,84,3,27
2023,450,all_deer,N,57,322,6,34,21,13,0,0,34,0,21
2023,450,all_deer,R,484,2521,5,247,162,85,0,3,240,51,112
2023,450,all_deer,SUM,541,2843,5,281,183,98,0,3,274,51,133
2023,450,md,N,57,322,6,17,15,2,0,0,17,0,15
2023,450,md,R,484,2521,5,109,85,24,0,0,109,34,51
2023,450,md,SUM,541,2843,5,125,100,26,0,0,125,34,66
2023,450,wt,N,57,322,6,17,6,11,0,0,17,0,6
2023,450,wt,R,484,2521,5,138,78,61,0,3,131,17,61
2023,450,wt,SUM,541,2843,5,156,83,72,0,3,149,17,67
2023,451,all_deer,N,21,90,4,6,6,0,0,0,6,3,3
2023,451,all_deer,R,83,531,6,33,20,13,0,0,33,14,7
2023,451,all_deer,SUM,104,621,6,39,26,13,0,0,39,17,10
2023,451,md,N,21,90,4,6,6,0,0,0,6,3,3
2023,451,md,R,83,531,6,17,10,7,0,0,17,10,0
2023,451,md,SUM,104,621,6,23,16,7,0,0,23,13,3
2023,451,wt,N,21,90,4,0,0,0,0,0,0,0,0
2023,451,wt,R,83,531,6,17,10,6,0,0,17,3,7
2023,451,wt,SUM,104,621,6,17,10,6,0,0,17,3,7
2023,452,all_deer,N,245,1569,6,77,63,14,0,9,68,21,42
2023,452,all_deer,R,585,3433,6,177,131,43,3,3,171,57,74
2023,452,all_deer,SUM,830,5002,6,254,194,57,3,12,238,78,116
2023,452,md,N,245,1569,6,60,60,0,0,9,51,21,39
2023,452,md,R,585,3433,6,101,98,3,0,3,98,54,44
2023,452,md,SUM,830,5002,6,161,157,3,0,12,148,75,83
2023,452,wt,N,245,1569,6,17,3,14,0,0,17,0,3
2023,452,wt,R,585,3433,6,76,34,39,3,0,73,3,30
2023,452,wt,SUM,830,5002,6,93,37,54,3,0,90,3,33
2023,455,all_deer,N,9,24,3,6,6,0,0,0,6,0,6
2023,455,all_deer,R,64,378,6,25,25,0,0,0,22,7,18
2023,455,all_deer,SUM,73,401,6,31,31,0,0,0,27,7,24
2023,455,md,N,9,24,3,0,0,0,0,0,0,0,0
2023,455,md,R,64,378,6,7,7,0,0,0,7,3,3
2023,455,md,SUM,73,401,6,7,7,0,0,0,7,3,3
2023,455,wt,N,9,24,3,6,6,0,0,0,6,0,6
2023,455,wt,R,64,378,6,18,18,0,0,0,15,3,15
2023,455,wt,SUM,73,401,6,24,24,0,0,0,21,3,21
2023,471,all_deer,N,140,595,4,116,116,0,0,0,116,18,98
2023,471,all_deer,R,673,3074,5,393,327,67,0,3,390,91,236
2023,471,all_deer,SUM,813,3669,5,510,443,67,0,3,506,109,334
2023,471,md,N,140,595,4,107,107,0,0,0,107,12,95
2023,471,md,R,673,3074,5,328,286,42,0,3,325,81,206
2023,471,md,SUM,813,3669,5,436,394,42,0,3,432,93,301
2023,471,wt,N,140,595,4,9,9,0,0,0,9,6,3
2023,471,wt,R,673,3074,5,65,40,25,0,0,65,10,30
2023,471,wt,SUM,813,3669,5,74,49,25,0,0,74,16,33
2023,4XX,all_deer,N,94,445,5,63,51,12,0,3,60,33,18
2023,4XX,all_deer,R,280,1261,5,192,110,73,10,0,192,44,66
2023,4XX,all_deer,SUM,374,1706,5,255,160,85,10,3,252,76,84
2023,4XX,md,N,94,445,5,48,48,0,0,3,45,33,15
2023,4XX,md,R,280,1261,5,79,66,14,0,0,79,27,39
2023,4XX,md,SUM,374,1706,5,127,114,14,0,3,124,60,54
2023,4XX,wt,N,94,445,5,15,3,12,0,0,15,0,3
2023,4XX,wt,R,280,1261,5,113,44,59,10,0,113,17,27
2023,4XX,wt,SUM,374,1706,5,128,47,71,10,0,128,17,30
2023,502,all_deer,N,77,277,4,54,45,9,0,0,54,21,24
2023,502,all_deer,R,1491,7516,5,830,547,273,10,23,781,230,317
2023,502,all_deer,SUM,1568,7793,5,884,591,282,10,23,835,251,340
2023,502,md,N,77,277,4,33,30,3,0,0,33,21,9
2023,502,md,R,1491,7516,5,531,398,131,3,9,512,185,212
2023,502,md,SUM,1568,7793,5,565,427,134,3,9,546,206,221
2023,502,wt,N,77,277,4,21,15,6,0,0,21,0,15
2023,502,wt,R,1491,7516,5,298,149,143,7,14,269,45,104
2023,502,wt,SUM,1568,7793,5,319,164,148,7,14,289,45,119
2023,515,all_deer,N,194,1103,6,124,92,32,0,0,124,21,72
2023,515,all_deer,R,2143,11914,6,1056,638,415,3,17,1029,263,368
2023,515,all_deer,SUM,2337,13017,6,1180,730,447,3,17,1153,284,440
2023,515,md,N,194,1103,6,77,66,11,0,0,77,18,48
2023,515,md,R,2143,11914,6,670,425,245,0,10,653,192,230
2023,515,md,SUM,2337,13017,6,747,491,256,0,10,730,210,278
2023,515,wt,N,194,1103,6,47,27,20,0,0,47,3,24
2023,515,wt,R,2143,11914,6,386,212,170,3,7,376,71,138
2023,515,wt,SUM,2337,13017,6,433,239,191,3,7,423,74,162
2023,525,all_deer,N,324,1789,6,160,137,23,0,9,151,39,95
2023,525,all_deer,R,1785,10990,6,860,513,344,3,32,821,199,314
2023,525,all_deer,SUM,2110,12779,6,1020,650,367,3,41,972,238,410
2023,525,md,N,324,1789,6,77,72,5,0,6,71,30,39
2023,525,md,R,1785,10990,6,301,261,37,3,7,294,135,126
2023,525,md,SUM,2110,12779,6,377,332,42,3,13,365,165,165
2023,525,wt,N,324,1789,6,84,66,18,0,3,81,9,57
2023,525,wt,R,1785,10990,6,559,253,307,0,26,527,64,189
2023,525,wt,SUM,2110,12779,6,643,318,325,0,29,608,73,245
2023,535,all_deer,N,189,950,5,154,120,34,0,0,154,34,86
2023,535,all_deer,R,1233,6388,5,608,415,184,10,6,598,126,289
2023,535,all_deer,SUM,1421,7337,5,762,535,217,10,6,752,159,375
2023,535,md,N,189,950,5,90,83,8,0,0,90,31,52
2023,535,md,R,1233,6388,5,333,242,81,10,6,327,91,151
2023,535,md,SUM,1421,7337,5,423,324,89,10,6,418,121,203
2023,535,wt,N,189,950,5,63,37,26,0,0,63,3,34
2023,535,wt,R,1233,6388,5,275,173,102,0,0,271,35,138
2023,535,wt,SUM,1421,7337,5,339,210,128,0,0,334,38,172
2023,540,all_deer,N,142,867,6,59,42,17,0,0,59,6,36
2023,540,all_deer,R,597,3334,6,150,111,39,0,3,147,37,74
2023,540,all_deer,SUM,739,4201,6,209,153,56,0,3,206,43,110
2023,540,md,N,142,867,6,21,21,0,0,0,21,3,18
2023,540,md,R,597,3334,6,61,57,3,0,0,61,30,27
2023,540,md,SUM,739,4201,6,82,78,3,0,0,82,33,45
2023,540,wt,N,142,867,6,38,21,17,0,0,38,3,18
2023,540,wt,R,597,3334,6,90,54,36,0,3,86,7,47
2023,540,wt,SUM,739,4201,6,128,75,53,0,3,124,10,65
2023,555,all_deer,N,35,246,7,24,16,8,0,0,24,3,13
2023,555,all_deer,R,408,2234,6,211,128,83,0,10,201,77,51
2023,555,all_deer,SUM,443,2480,6,235,144,91,0,10,225,80,64
2023,555,md,N,35,246,7,24,16,8,0,0,24,3,13
2023,555,md,R,408,2234,6,147,90,58,0,3,145,60,30
2023,555,md,SUM,443,2480,6,172,106,66,0,3,169,63,43
2023,555,wt,N,35,246,7,0,0,0,0,0,0,0,0
2023,555,wt,R,408,2234,6,64,38,26,0,8,56,17,21
2023,555,wt,SUM,443,2480,6,64,38,26,0,8,56,17,21
2023,565,all_deer,N,8,16,2,3,0,3,0,0,3,0,0
2023,565,all_deer,R,78,494,6,26,14,12,0,0,26,7,7
2023,565,all_deer,SUM,86,510,6,29,14,15,0,0,29,7,7
2023,565,md,N,8,16,2,0,0,0,0,0,0,0,0
2023,565,md,R,78,494,6,3,3,0,0,0,3,3,0
2023,565,md,SUM,86,510,6,3,3,0,0,0,3,3,0
2023,565,wt,N,8,16,2,3,0,3,0,0,3,0,0
2023,565,wt,R,78,494,6,22,10,12,0,0,22,3,7
2023,565,wt,SUM,86,510,6,25,10,15,0,0,25,3,7
2023,575,all_deer,N,139,818,6,80,54,24,3,0,80,24,30
2023,575,all_deer,R,1831,10878,6,1103,632,463,8,63,1030,285,347
2023,575,all_deer,SUM,1970,11695,6,1183,686,487,11,63,1110,309,377
2023,575,md,N,139,818,6,46,36,7,3,0,46,21,15
2023,575,md,R,1831,10878,6,566,373,190,3,10,553,218,155
2023,575,md,SUM,1970,11695,6,612,409,197,6,10,599,239,170
2023,575,wt,N,139,818,6,34,18,16,0,0,34,3,15
2023,575,wt,R,1831,10878,6,537,259,273,4,53,477,67,192
2023,575,wt,SUM,1970,11695,6,572,277,290,4,53,512,70,207
2023,580,all_deer,N,227,1170,5,157,115,43,0,9,149,30,85
2023,580,all_deer,R,918,4604,5,660,392,263,4,7,642,100,286
2023,580,all_deer,SUM,1145,5774,5,817,507,306,4,16,790,129,371
2023,580,md,N,227,1170,5,53,52,1,0,6,47,15,37
2023,580,md,R,918,4604,5,151,126,24,0,3,147,59,64
2023,580,md,SUM,1145,5774,5,204,178,26,0,9,194,74,101
2023,580,wt,N,227,1170,5,104,63,42,0,3,101,15,48
