License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2024,200,N,26,144,6,5,5,0,0,5,0,0,5,0
2024,200,R,471,4060,9,33,30,3,0,6,24,0,24,6
2024,200,SUM,496,4204,9,38,35,3,0,11,24,0,29,6
2024,201,N,103,602,6,9,3,6,0,4,5,0,3,0
2024,201,R,2401,20400,9,318,147,168,3,45,263,0,120,24
2024,201,SUM,2503,21002,8,327,150,174,3,49,268,0,122,24
2024,202,N,62,763,12,5,5,0,0,3,3,0,0,5
2024,202,R,1073,8723,8,85,69,14,2,6,79,0,58,11
2024,202,SUM,1136,9486,8,90,74,14,2,9,81,0,58,17
2024,204,N,35,271,8,5,5,0,0,0,5,0,5,0
2024,204,R,1022,7289,7,71,39,32,0,12,56,0,30,9
2024,204,SUM,1057,7560,7,76,44,32,0,12,61,0,35,9
2024,210,N,117,826,7,21,18,3,0,3,18,0,8,10
2024,210,R,941,7017,8,141,67,75,0,3,135,0,42,24
2024,210,SUM,1058,7844,7,162,85,77,0,6,153,0,50,35
2024,211,N,153,1183,8,28,28,0,0,8,21,0,15,13
2024,211,R,679,5859,9,96,57,39,0,24,72,0,36,21
2024,211,SUM,832,7042,9,124,85,39,0,32,93,0,51,34
